Anio,Tipo de delito,Total
2015,Homicidio,31332
2016,Homicidio,35410
2017,Homicidio,41326
2018,Homicidio,44485
2019,Homicidio,44877
2020,Homicidio,43275
2021,Homicidio,43976
2022,Homicidio,42888
2023,Homicidio,21142
